age,annual_income,employment_length,credit_score,debt_to_income,num_open_accounts,delinquencies_2y,inquiries_6m,loan_amount,loan_term_months,interest_rate,purpose,home_ownership,channel,region,default_12m
48,68900.0,8,612.0,0.267,6,1,1,20406.0,36,0.264,vacation,mortgage,branch,ni,0
65,48300.0,14,717.0,0.211,8,0,0,10061.0,60,0.142,medical,own,branch,ni,0
47,26900.0,15,682.0,0.278,6,0,0,11801.0,60,0.227,medical,mortgage,branch,north,0
73,131500.0,2,699.0,0.487,4,0,1,19644.0,60,0.204,vacation,rent,branch,wales,0
38,49500.0,3,655.0,0.246,3,0,1,4814.0,36,0.239,medical,mortgage,branch,north,0
25,25900.0,16,654.0,0.282,4,0,0,6381.0,60,0.262,small_business,rent,branch,south,0
45,84800.0,1,636.0,0.453,2,0,0,2630.0,60,0.292,small_business,mortgage,branch,north,1
74,43500.0,7,591.0,0.49,5,0,3,3397.0,36,0.287,home_improvement,rent,branch,ni,1
29,31600.0,10,639.0,0.213,3,0,0,11549.0,36,0.249,debt_consolidation,mortgage,online,ni,0
42,61800.0,3,540.0,0.236,7,1,1,12319.0,36,0.238,auto,mortgage,branch,south,1
25,46500.0,16,729.0,0.246,4,0,0,3640.0,36,0.092,home_improvement,mortgage,online,south,0
29,60800.0,5,685.0,0.291,2,0,0,1000.0,36,0.2,vacation,mortgage,online,south,0
48,44100.0,33,733.0,0.143,8,1,1,8125.0,36,0.076,vacation,mortgage,online,north,1
32,74900.0,25,679.0,0.275,6,0,2,15695.0,36,0.219,debt_consolidation,mortgage,online,ni,0
74,55600.0,9,526.0,0.223,8,0,0,23149.0,60,0.296,education,rent,branch,wales,0
66,37400.0,33,734.0,0.334,5,0,0,15837.0,60,0.123,small_business,mortgage,branch,north,1
54,45300.0,24,763.0,0.224,7,1,0,12390.0,36,0.06,debt_consolidation,mortgage,branch,south,1
59,76300.0,18,600.0,0.213,7,1,2,13071.0,36,0.251,small_business,mortgage,broker,wales,0
70,44600.0,1,587.0,0.289,6,0,1,2899.0,36,0.253,debt_consolidation,rent,branch,north,0
29,31700.0,30,778.0,0.412,3,0,1,15453.0,60,0.105,education,rent,online,south,0
41,48200.0,8,631.0,0.44,4,1,0,14875.0,60,0.309,small_business,own,online,wales,0
57,59400.0,12,679.0,0.266,2,0,0,9427.0,36,0.214,auto,mortgage,branch,wales,0
44,57000.0,29,597.0,0.362,5,0,0,8140.0,60,0.28,auto,own,online,midlands,0
73,23200.0,30,696.0,0.081,7,0,2,16344.0,36,0.161,home_improvement,mortgage,online,south,0
27,25800.0,12,647.0,0.308,3,0,1,14833.0,60,0.311,small_business,mortgage,broker,midlands,1
52,39000.0,6,779.0,0.303,5,0,0,12361.0,36,0.074,home_improvement,mortgage,online,midlands,0
31,67500.0,7,704.0,0.197,5,0,1,6365.0,60,0.151,vacation,mortgage,online,scotland,1
38,49700.0,34,504.0,0.548,8,0,0,12245.0,36,0.273,education,own,branch,scotland,0
29,96200.0,21,588.0,0.387,9,0,0,13112.0,36,0.265,education,mortgage,online,midlands,0
36,97700.0,39,699.0,0.215,9,0,1,11381.0,36,0.159,education,rent,branch,scotland,0
24,66700.0,15,695.0,0.495,4,0,1,14928.0,36,0.181,medical,rent,branch,ni,1
33,49200.0,36,576.0,0.295,4,1,0,6053.0,36,0.271,education,rent,branch,south,0
52,41600.0,37,674.0,0.223,4,0,1,9130.0,36,0.209,education,mortgage,branch,scotland,1
48,29300.0,27,750.0,0.38,4,0,0,7128.0,36,0.083,vacation,mortgage,branch,south,0
71,49600.0,18,715.0,0.438,3,0,0,10710.0,60,0.164,small_business,mortgage,branch,south,0
61,25800.0,2,595.0,0.35,3,0,0,11853.0,60,0.301,small_business,mortgage,branch,ni,1
